RUT,Apellidos,Nombres,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
21000028-3,Bravo Valenzuela,Colomba,A,A,A,D,A,B,B,D,A,B
21000029-1,Núñez Álvarez,Matías,B,B,C,D,A,A,C,D,A,B
21000030-5,González Díaz,Sofía,A,D,C,A,C,B,C,D,A,B
21000031-3,Muñoz Morales,Mateo,A,A,B,D,C,C,C,C,A,D
21000032-1,Rojas Flores,Isidora,A,A,B,D,D,D,C,D,A,B
21000033-K,Díaz Castro,Agustín,A,D,D,D,A,B,C,D,A,B
21000034-8,Pérez Muñoz,Florencia,A,B,C,D,A,C,C,C,A,B
21000035-6,Soto Martínez,Benjamín,A,B,C,A,C,A,C,B,D,B
21000036-4,Contreras Torres,Antonia,A,B,B,D,B,A,C,D,D,B
21000037-2,Silva Reyes,Vicente,C,B,B,D,A,B,C,A,A,B
21000038-0,Martínez Núñez,Emilia,C,B,C,D,D,A,C,D,A,B
21000039-9,Sepúlveda Contreras,Tomás,C,B,A,D,C,D,C,A,A,B
21000040-2,Morales Fuentes,Catalina,B,A,C,B,A,B,A,D,A,B
21000041-0,Rodríguez Castillo,Joaquín,A,D,C,D,A,B,B,D,C,B
21000042-9,López Vergara,Josefa,A,B,C,D,B,B,C,D,B,B
21000043-7,Fuentes Pérez,Lucas,D,B,C,D,A,B,C,D,A,B
