RUT,Apellidos,Nombres,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
21000044-5,Hernández Rodríguez,Martina,A,A,C,D,A,C,B,D,A,D
21000045-3,Torres Espinoza,Maximiliano,A,C,C,B,A,B,C,D,A,B
21000046-1,Araya Vargas,Valentina,A,A,A,C,A,B,C,C,C,B
21000047-K,Flores Rojas,Gaspar,A,B,C,D,A,B,C,B,A,C
21000048-8,Espinoza Sepúlveda,Amanda,C,D,A,D,A,B,C,B,C,D
21000049-6,Valenzuela Araya,Cristóbal,D,B,A,C,A,A,D,D,A,B
21000050-K,Castillo Gutiérrez,Trinidad,A,B,C,D,A,B,C,A,A,B
21000051-8,Tapia González,Diego,D,C,C,D,B,C,C,B,C,C
21000052-6,Reyes Silva,Renata,D,D,C,A,C,D,C,B,A,A
21000053-4,Gutiérrez Hernández,Bruno,B,B,C,D,C,A,C,D,A,A
21000054-2,Castro Tapia,Javiera,A,B,C,D,C,B,C,D,B,B
21000055-0,Vargas Bravo,Felipe,A,B,C,D,C,D,C,D,D,B
21000056-9,Álvarez Soto,Pascuala,C,A,B,D,A,A,B,A,A,C
21000057-7,Vergara López,Ignacio,A,D,C,C,A,A,C,D,A,B
21000058-5,Bravo Valenzuela,Colomba,A,B,B,C,B,B,C,D,C,D
21000059-3,Núñez Álvarez,Matías,C,B,C,A,A,B,C,D,A,B
